"","spp","year","lo","hi","index","se","habitat","elevation","endemic"
"1","ASW",2000,100,100,100,0,"rainforest","upland","endemic"
"2","ASW",2001,38.2829655753189,75.6105667325131,59.5141066253225,9.58941669114065,"rainforest","upland","endemic"
"3","ASW",2002,61.7347768078771,111.828829884729,89.5892014761885,12.8391757241141,"rainforest","upland","endemic"
"4","ASW",2003,-8.26184868192318,23.2875425206659,12.2803114652859,8.30818249631852,"rainforest","upland","endemic"
"5","ASW",2004,45.5259409825988,81.0698370723355,65.6257733627197,9.12531011621541,"rainforest","upland","endemic"
"6","ASW",2005,28.0484268784336,61.8463275834801,47.5484591621393,8.69767491093855,"rainforest","upland","endemic"
"7","ASW",2006,25.432355780809,54.5614755293381,42.3718686708234,7.50402854744227,"rainforest","upland","endemic"
"8","ASW",2007,43.1368032838821,81.9837780338343,65.1144872994314,9.97381261110414,"rainforest","upland","endemic"
"9","ASW",2008,23.3047797019935,52.6434165287541,40.4231849801655,7.56148723333183,"rainforest","upland","endemic"
"10","ASW",2009,51.9707040178517,91.2435372181245,74.028653720814,10.0754624827473,"rainforest","upland","endemic"
"11","ASW",2010,15.8969797319753,47.2217097851661,34.3943998687306,8.08748523890724,"rainforest","upland","endemic"
"12","ASW",2011,24.5030484274724,56.9530190461648,43.3438693759833,8.35772652783597,"rainforest","upland","endemic"
"13","ASW",2012,-3.69321952424238,12.9139705563424,7.74566062174444,4.44190971014724,"rainforest","upland","endemic"
"14","ASW",2013,42.4192335477727,78.3768715575369,62.805404135852,9.23413202061873,"rainforest","upland","endemic"
"15","ASW",2014,40.7247694479795,74.6139278635925,59.9909036434314,8.70560724705444,"rainforest","upland","endemic"
"16","ASW",2015,3.34586640407001,25.4187491193184,17.2054109146044,5.76353809898365,"rainforest","upland","endemic"
"17","ASW",2016,25.05499173806,51.4975305113204,40.4819861603378,6.8149727931301,"rainforest","upland","endemic"
"18","BFMON",2000,100,100,100,0,"rainforest","midland",""
"19","BFMON",2001,140.168588795411,196.229897215228,169.623220063311,14.315461276463,"rainforest","midland",""
"20","BFMON",2002,92.7575211363086,133.773988588802,114.533721571842,10.4785685047797,"rainforest","midland",""
"21","BFMON",2003,109.855183879438,161.105281187891,136.929158125795,13.0899179133174,"rainforest","midland",""
"22","BFMON",2004,47.5236956314308,73.3566421945931,61.529931145967,6.60770492848343,"rainforest","midland",""
"23","BFMON",2005,86.6852086941356,125.329306932004,107.241852109409,9.87345248263983,"rainforest","midland",""
"24","BFMON",2006,43.6261492111288,66.4521532433113,56.0480960908936,5.84008154596408,"rainforest","midland",""
"25","BFMON",2007,67.291172504598,98.3691316349085,83.9524003669955,7.94368255385106,"rainforest","midland",""
"26","BFMON",2008,49.4425708187615,74.839658152123,63.1982430266843,6.49576450035173,"rainforest","midland",""
"27","BFMON",2009,7.12275366797204,19.0957878574682,14.1629588927035,3.08925786124124,"rainforest","midland",""
"28","BFMON",2010,40.943733141734,64.3232331622192,53.6893697560523,5.98245705157303,"rainforest","midland",""
"29","BFMON",2011,56.0714924940368,85.3141546020235,71.8344553422048,7.4770219303623,"rainforest","midland",""
