id,spp,site,mean,sd,ymin,ymax
88,GHR,WT800,2.282157676,1.276083327,1.006074349,3.558241004
95,GOLDBB,WT1000,0.245535714,0.550155036,0,0.79569075
96,GOLDBB,WT1200,0.32,0.556776436,0,0.876776436
91,GOLDBB,WT200,NA,NA,NA,NA
92,GOLDBB,WT400,NA,NA,NA,NA
93,GOLDBB,WT600,0.040540541,0.258509383,0,0.299049923
94,GOLDBB,WT800,0.041493776,0.199844338,0,0.241338114
101,GOLDW,WT1000,1.305084746,1.423262507,0,2.728347252
102,GOLDW,WT1200,1.941176471,1.791244302,0.149932169,3.732420773
97,GOLDW,WT200,0.142857143,0.456435465,0,0.599292607
98,GOLDW,WT400,0.315789474,0.631265586,0,0.94705506
99,GOLDW,WT600,1.783783784,1.815234392,0,3.599018176
100,GOLDW,WT800,1.701244813,1.446964677,0.254280136,3.148209491
107,LBSW,WT1000,1.487288136,1.942757269,0,3.430045405
108,LBSW,WT1200,1.235294118,1.51874796,0,2.754042077
103,LBSW,WT200,1.355555556,2.001766896,0,3.357322452
104,LBSW,WT400,1.890909091,2.087642009,0,3.9785511
105,LBSW,WT600,2.162162162,2.739998135,0,4.902160297
106,LBSW,WT800,2.265560166,2.29220068,0,4.557760846
113,LEWHE,WT1000,1.512711864,1.433581832,0.079130032,2.946293697
114,LEWHE,WT1200,1.294117647,0.938387132,0.355730515,2.232504779
109,LEWHE,WT200,0,0,0,0
110,LEWHE,WT400,0.192982456,0.580596875,0,0.773579332
111,LEWHE,WT600,2.189189189,1.787902082,0.401287107,3.977091271
112,LEWHE,WT800,2.136929461,1.563224936,0.573704525,3.700154396
119,LST,WT1000,NA,NA,NA,NA
120,LST,WT1200,NA,NA,NA,NA
115,LST,WT200,2.632653061,1.364640941,1.26801212,3.997294002
116,LST,WT400,2.50877193,1.872000525,0.636771405,4.380772455
117,LST,WT600,0.297297297,0.635259191,0,0.932556488
118,LST,WT800,0.46473029,0.987315821,0,1.452046112
125,MACHE,WT1000,0.131355932,0.407002358,0,0.53835829
126,MACHE,WT1200,0.029411765,0.171498585,0,0.20091035
121,MACHE,WT200,1.367346939,1.523344423,0,2.890691362
122,MACHE,WT400,1.320754717,1.139729808,0.181024909,2.460484525
123,MACHE,WT600,0.824324324,0.926890635,0,1.751214959
124,MACHE,WT800,0.514522822,0.8760688,0,1.390591621
131,MTB,WT1000,0.322033898,0.688894964,0,1.010928862
132,MTB,WT1200,0.117647059,0.409338408,0,0.526985467
127,MTB,WT200,0.510204082,0.915661168,0,1.425865249
128,MTB,WT400,0.789473684,1.206187058,0,1.995660742
